#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
114,"At the Speed of Light","Dimrain47",53,162,"","","The Dimrain47 Collection (2005-2012)",2019-12-02,04:10,28,80,2,90,38,0,10,-9,A#/B♭,4,2025-11-16,3DAECfDIlJTPV5vK1AcI6k,"1608350 Records DK",6B,QZK6P1909180
115,"Paranoid (2012 Remaster)","Black Sabbath",66,163,"metal, heavy metal, rock, stoner rock, doom metal, hard rock","Metal, Rock","Paranoid",1970-09-18,02:46,42,65,0,0,41,0,20,-12,E minor,4,2025-11-16,2z71jdeVcC782NgsYZ6N8q,"Sanctuary Records",9A,USWB11304628
116,"Be Quiet and Drive (Far Away)","Deftones",80,93,"nu metal, alternative metal, rap metal, shoegaze, rock","Metal, Rock, Hip Hop","Around the Fur",1997-10-27,04:59,21,97,0,83,17,0,30,-5,C♯/D♭,4,2025-11-16,4Uiw0Sl9yskBaC6P4DcdVD,"Maverick",3B,USMV29700147
117,"Change (In the House of Flies)","Deftones",82,142,"nu metal, alternative metal, rap metal, shoegaze, rock","Metal, Rock, Hip Hop","White Pony",2000-00-00,04:59,27,85,0,0,18,0,10,-5,G minor,4,2025-11-16,51c94ac31swyDQj9B3Lzs3,"Rhino",6A,USMV20000039
118,"Swerve City","Deftones",65,112,"nu metal, alternative metal, rap metal, shoegaze, rock","Metal, Rock, Hip Hop","Koi No Yokan",2012-11-09,02:44,46,96,0,1,37,0,60,-3,A#/B♭,4,2025-11-16,2OUR8g12h5qsGDs1v5lqvp,"Reprise",6B,USRE11200411
119,"Somewhere I Belong","Linkin Park",83,162,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop","Meteora (Bonus Edition)",2003-03-25,03:33,45,95,0,0,44,0,20,-4,C♯/D♭,4,2025-11-16,3fjmSxt0PskST13CSdBUFx,"Warner Records",3B,USWB10300376
120,"Come Fly With Me","Frank Sinatra",47,134,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Easy Listening, Jazz, Pop","Come Fly With Me (Mono Version)",1958-01,03:16,48,44,71,0,48,0,10,-9,B,4,2025-11-16,1GcPhT7osBb4LEJnQ0tmfj,"CAPITOL CATALOG MKT (C92)",1B,USCA28700435
121,"Break My Stride","Matthew Wilder",74,110,"","","I Don't Speak The Language",1983-03-19,03:04,92,59,20,0,83,0,0,-11,A#/B♭,4,2025-11-16,1mCsF9Tw4AkIZOjvZbZZdT,"Legacy Recordings",6B,USSM18300576
122,"Flat World, Plain Asia","Blankfield",4,111,"","","This Is the Dead, and I Reached the Deathless.",2011-12-30,02:55,23,93,0,80,33,0,30,-2,C♯/D♭ minor,4,2025-11-16,76FPkB7cpx96Uno6Iv75h4,"東方同人音楽流通",12A,JPW562110849
123,"I Hate Myself for Loving You","Joan Jett & the Blackhearts",67,118,"rock","Rock","Up Your Alley",1988-05-23,04:06,61,88,8,0,61,0,10,-11,A,4,2025-11-16,2HXixVqzzm9rEUIMAWzshl,"CBS Associated",11B,USSM10021818
124,"Better Off Alone","Alice Deejay",79,137,"eurodance, europop","Electronic, Pop","Who Needs Guitars Anyway?",2000-10-01,03:34,67,88,0,67,79,0,20,-6,G#/A♭ minor,4,2025-11-16,5XVjNRubJUW0iPhhSWpLCj,"Universal Music, a division of Universal International Music BV",1A,NLC529811122
125,"L'Amour Toujours","Gigi D'Agostino",77,139,"eurodance, italo dance","Electronic, Pop","L'Amour Toujours",2001-05-23,04:02,64,88,8,2,74,0,30,-4,G,4,2025-11-16,52LJ3hyknOijCrE5gCD0rE,"ZYX Music",9B,NLS241000174
