#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
54,"Goodbye Yellow Brick Road - Remastered 2014","Elton John",76,121,"","","Goodbye Yellow Brick Road (Remastered)",1973-10-05,03:12,56,47,45,0,40,0,10,-8,F,4,2025-11-16,4IRHwIZHzlHT1FQpRa5RdE,"UMC (Universal Music Catalogue)",7B,GBUM71304956
55,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",82,137,"","","Honky Chateau",1972-05-19,04:41,60,53,43,0,34,0,0,-9,A#/B♭,4,2025-11-16,3gdewACMIVMEWVbyb8O9sY,"EMI",6B,GBAMB7200006
56,"Hammer To Fall - Remastered 2011","Queen",63,129,"classic rock, rock, glam rock","Rock","Greatest Hits II (2011 Remaster)",1991-10-28,03:38,43,79,32,0,52,0,10,-5,A,4,2025-11-16,4zguEJ2UaLe4zbEIDWqiVP,"EMI",11B,GBUM71029634
57,"Key","C418",68,147,"","","Minecraft - Volume Alpha",2011-03-04,01:05,13,0,99,38,4,0,0,-42,D#/E♭ minor,5,2025-11-16,7K7E7LKK51PezScgsvVg9Y,"C418",2A,TCAAW1157068
58,"Door","C418",61,65,"","","Minecraft - Volume Alpha",2011-03-04,01:51,46,11,97,94,8,0,0,-17,F,5,2025-11-16,6PR3ZUCnxtQTEu30qgZLwT,"C418",7B,TCAAW1157069
59,"Subwoofer Lullaby","C418",72,74,"","","Minecraft - Volume Alpha",2011-03-04,03:28,33,1,92,92,4,0,10,-24,C,4,2025-11-16,1OJxI8lIWRqBvouJxW1nzN,"C418",8B,TCAAW1157071
60,"Death","C418",53,58,"","","Minecraft - Volume Alpha",2011-03-04,00:41,54,20,84,1,21,80,30,-31,B minor,4,2025-11-16,4B6A1T91lF1IRKkBVwUzWe,"C418",10A,TCAAW1157073
61,"Living Mice","C418",65,75,"","","Minecraft - Volume Alpha",2011-03-04,02:57,43,6,88,61,4,0,0,-22,G,4,2025-11-16,4x79cjezqX3yd15rSrAVFF,"C418",9B,TCAAW1157074
62,"Moog City","C418",68,132,"","","Minecraft - Volume Alpha",2011-03-04,02:40,46,16,94,62,14,0,10,-21,E minor,4,2025-11-16,4Ar3oSp4bAw5gz22F70GM7,"C418",9A,TCAAW1157075
63,"Haggstrom","C418",66,112,"","","Minecraft - Volume Alpha",2011-03-04,03:24,77,18,97,81,4,0,0,-17,E minor,1,2025-11-16,4RROfcxQXFIwW0ugcZfdC4,"C418",9A,TCAAW1157076
64,"Minecraft","C418",70,84,"","","Minecraft - Volume Alpha",2011-03-04,04:14,21,2,98,64,12,0,0,-23,C♯/D♭,3,2025-11-16,6xwhCiWXREsAIQVZqHswVw,"C418",3B,TCAAW1157077
65,"Oxygène","C418",61,107,"","","Minecraft - Volume Alpha",2011-03-04,01:05,16,1,57,82,3,0,0,-31,A minor,3,2025-11-16,3sbcAG3y97g63yDSVMf38o,"C418",8A,TCAAW1157078
66,"Équinoxe","C418",61,91,"","","Minecraft - Volume Alpha",2011-03-04,01:54,44,10,92,39,25,0,0,-18,A minor,4,2025-11-16,37WtwAa4PzRprHMp7Esdds,"C418",8A,TCAAW1157079
67,"Mice On Venus","C418",70,111,"","","Minecraft - Volume Alpha",2011-03-04,04:41,43,3,96,1,8,0,0,-18,C,4,2025-11-16,5fqjfiMOFapIb8uFcxBStH,"C418",8B,TCAAW1157080
68,"Dry Hands","C418",66,118,"","","Minecraft - Volume Alpha",2011-03-04,01:08,68,1,99,71,34,0,10,-22,F#/G♭ minor,4,2025-11-16,1gNcPHAiVIQZmqJFJdt3ti,"C418",11A,TCAAW1157081
69,"Wet Hands","C418",69,148,"","","Minecraft - Volume Alpha",2011-03-04,01:30,62,4,100,94,64,0,0,-26,A,3,2025-11-16,1tinoQpYXzpZDrb0BjK1e7,"C418",11B,TCAAW1157082
70,"Clark","C418",65,82,"","","Minecraft - Volume Alpha",2011-03-04,03:11,22,1,98,85,4,0,0,-23,A minor,4,2025-11-16,4o0YiMA52IzmOn5yIdIhu5,"C418",8A,TCAAW1157083
71,"Chris","C418",60,93,"","","Minecraft - Volume Alpha",2011-03-04,01:27,56,20,89,94,7,0,10,-16,C,4,2025-11-16,3zWC1keGhHYD7omS4If9TD,"C418",8B,TCAAW1157084
72,"Thirteen","C418",53,71,"","","Minecraft - Volume Alpha",2011-03-04,02:56,26,7,96,95,3,0,10,-30,E minor,1,2025-11-16,1yRvOL3HruyNKODMBHt1Qh,"C418",9A,TCAAW1157085
73,"Excuse","C418",62,86,"","","Minecraft - Volume Alpha",2011-03-04,02:04,49,1,99,95,4,0,10,-26,D minor,4,2025-11-16,2FD2StPTst6uMJF7cHBbP0,"C418",7A,TCAAW1157086
74,"Sweden","C418",70,88,"","","Minecraft - Volume Alpha",2011-03-04,03:35,64,1,99,95,20,0,10,-25,D,4,2025-11-16,4NsPgRYUdHu2Q5JRNgXYU5,"C418",10B,TCAAW1157087
75,"Cat","C418",62,112,"","","Minecraft - Volume Alpha",2011-03-04,03:06,49,47,87,91,4,0,10,-16,G#/A♭,4,2025-11-16,23uNiVgsIgoHC7eLet3kCI,"C418",4B,TCAAW1157088
76,"Dog","C418",58,112,"","","Minecraft - Volume Alpha",2011-03-04,02:25,58,53,5,92,8,0,10,-15,A#/B♭ minor,4,2025-11-16,4YLXjoYmRGIXstTLtloHf2,"C418",3A,TCAAW1157089
77,"Danny","C418",65,81,"","","Minecraft - Volume Alpha",2011-03-04,04:14,21,3,97,48,10,0,0,-22,C,4,2025-11-16,2Au50d6aZrsYrbxQzDjjYW,"C418",8B,TCAAW1157090
78,"Beginning","C418",62,79,"","","Minecraft - Volume Alpha",2011-03-04,01:42,12,2,99,93,4,0,0,-31,C♯/D♭,4,2025-11-16,4B3RbRUP0fl2KxaBWVUfo9,"C418",3B,TCAAW1157091
79,"Droopy Likes Ricochet","C418",56,95,"","","Minecraft - Volume Alpha",2011-03-04,01:36,56,35,38,91,6,0,10,-18,C,4,2025-11-16,446uS2hk2kGLzVqWHnCApg,"C418",8B,TCAAW1157317
80,"Droopy Likes Your Face","C418",58,95,"","","Minecraft - Volume Alpha",2011-03-04,01:56,59,33,59,93,40,0,20,-20,D minor,4,2025-11-16,0kZEfdlIq3sfQklsGcUZDm,"C418",7A,TCAAW1157318
81,"Ki","C418",56,120,"","","Minecraft - Volume Beta",2013-11-09,01:32,21,14,94,96,3,0,10,-17,A#/B♭,4,2025-11-16,6nCW5Ju2Yo3zCFKNYtNQvA,"C418",6B,TCABR1368224
82,"Alpha","C418",54,129,"","","Minecraft - Volume Beta",2013-11-09,10:03,30,13,88,92,5,0,10,-14,G minor,4,2025-11-16,0RZfz4zLlFb1lNtoEr7yDR,"C418",6A,TCABR1368225
83,"Dead Voxel","C418",60,65,"","","Minecraft - Volume Beta",2013-11-09,04:56,12,5,86,94,4,0,10,-27,A#/B♭ minor,3,2025-11-16,36Cv84a2qCZarCdtTcMJnj,"C418",3A,TCABR1368226
84,"Blind Spots","C418",65,100,"","","Minecraft - Volume Beta",2013-11-09,05:32,54,19,83,92,11,0,0,-18,A#/B♭,4,2025-11-16,6K8HUxHtrxGKUJxY6lEQy0,"C418",6B,TCABR1368227
85,"Flake","C418",57,124,"","","Minecraft - Volume Beta",2013-11-09,02:50,63,16,89,66,3,0,0,-21,C minor,4,2025-11-16,1FOlGfdJdsq6NppmPNqdmb,"C418",5A,TCABR1368228
86,"Moog City 2","C418",68,142,"","","Minecraft - Volume Beta",2013-11-09,03:00,25,8,93,95,23,0,10,-25,E minor,4,2025-11-16,1kKaRzjW8OiGLriIdpXHT1,"C418",9A,TCABR1368229
